78,Bojan Bogdanovic,SF,27,WAS,13,0,20.3,2.8,6.7,0.414,1.2,3.5,0.356,1.5,3.2,0.476,0.506,2.1,2.5,0.844,0.8,3.5,4.3,0.7,0.5,0.1,0.6,1.3,8.8
79,Channing Frye,C,33,CLE,8,0,14.3,3,5,0.6,2,3.6,0.552,1,1.4,0.727,0.8,0.8,0.9,0.857,0,2,2,0.9,0.3,0.5,0.1,1.1,8.8
80,Nikola Mirotic,PF,25,CHI,6,6,27,2.8,8.3,0.34,1.7,5.8,0.286,1.2,2.5,0.467,0.44,1.3,1.7,0.8,0.7,4.3,5,1.5,0.7,0.5,0.7,2.7,8.7
81,James Ennis,SF,26,MEM,6,4,26.5,2.7,6.3,0.421,1,3.2,0.316,1.7,3.2,0.526,0.5,2,2.3,0.857,1.3,2.8,4.2,1.2,0.8,0.3,1.2,3.3,8.3
82,Marcin Gortat,C,32,WAS,13,13,31.5,3.6,7.2,0.505,0,0,,3.6,7.2,0.505,0.505,0.8,1.4,0.611,4.2,7,11.2,1.8,0.4,1.5,1.3,3.1,8.1
83,Steven Adams,C,23,OKC,5,5,31.4,3.6,5.6,0.643,0,0,,3.6,5.6,0.643,0.643,0.8,2.2,0.364,3.4,3.4,6.8,1.4,1.2,1.8,0.8,2.8,8
84,Malcolm Delaney,PG,27,ATL,1,0,3,3,3,1,1,1,1,2,2,1,1.167,1,2,0.5,0,1,1,0,0,0,0,0,8
85,Dwight Howard,C,31,ATL,6,6,26.2,3,6,0.5,0,0,,3,6,0.5,0.5,2,3.2,0.632,3,7.7,10.7,1.3,1,0.8,1.8,3.5,8
86,Austin Rivers,SG,24,LAC,3,2,30,3,8.7,0.346,1.3,4.3,0.308,1.7,4.3,0.385,0.423,0.7,0.7,1,0.3,2.3,2.7,0.7,0.3,0.3,1.7,2,8
87,Marcus Smart,SG,22,BOS,13,0,29.6,2.6,7.2,0.366,1.5,3.8,0.388,1.2,3.4,0.341,0.468,1.3,2.5,0.531,1.2,3.8,5.1,4.6,1.5,1,1.8,2.8,8
88,Danny Green,SG,29,SAS,13,13,28,2.8,6.5,0.435,1.7,4.6,0.367,1.2,1.9,0.6,0.565,0.5,1,0.538,0.7,2.6,3.3,1.4,0.6,1,1,2,7.9
89,Cory Joseph,SG,25,TOR,10,2,21.2,3.1,7.1,0.437,0.9,2.2,0.409,2.2,4.9,0.449,0.5,0.8,0.8,1,0.4,1.7,2.1,3.1,0.4,0.2,1.4,1.7,7.9
